date,p_1cp_hourly_summer,p_top5_hourly_summer,ph_00,ph_01,ph_02,ph_03,ph_04,ph_05,ph_06,ph_07,ph_08,ph_09,ph_10,ph_11,ph_12,ph_13,ph_14,ph_15,ph_16,ph_17,ph_18,ph_19,ph_20,ph_21,ph_22,ph_23,peak_hour_mlh,sig_1cp_bin_0p5,sig_1cp_band,sig_top5_bin_0p5,sig_top5_band,p_4cp_hourly_monthlyTop4,p_4cp_daily_monthlyTop4,sig_4cp_hourly_bin_0p5,sig_4cp_hourly_band,sig_4cp_daily_bin_0p5,sig_4cp_daily_band
2023-07-13,0.02,0.0395,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0005,0.0005,0.035,0.0445,0.0625,0.1595,0.3,0.2485,0.1035,0.026,0.014,0.0025,18,0,GREEN,0,GREEN,0.029,0.182,0,GREEN,0,GREEN
2023-07-14,0.0045,0.0115,0.0035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0075,0.026,0.029,0.0485,0.0625,0.138,0.2725,0.253,0.1095,0.0285,0.0165,0.003,18,0,GREEN,0,GREEN,0.0065,0.0995,0,GREEN,0,GREEN
2023-07-15,0.007,0.015,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065,0.0235,0.0205,0.1105,0.108,0.158,0.2385,0.145,0.1615,0.0175,0.0065,0.002,18,0,GREEN,0,GREEN,0.01,0.126,0,GREEN,0,GREEN
2023-07-16,0.002,0.0065,0.0035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0095,0.0185,0.0485,0.049,0.0925,0.2,0.3855,0.132,0.042,0.015,0.003,19,0,GREEN,0,GREEN,0.0025,0.073,0,GREEN,0,GREEN
2023-07-17,0.0415,0.057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0085,0.03,0.0395,0.068,0.071,0.175,0.307,0.182,0.0905,0.018,0.009,0.001,18,0,GREEN,0,GREEN,0.049,0.244,0,GREEN,0,GREEN
2023-07-18,0.031,0.049,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.001,0.0115,0.035,0.045,0.0685,0.067,0.1705,0.274,0.1875,0.102,0.0235,0.0115,0.0015,18,0,GREEN,0,GREEN,0.04,0.22,0,GREEN,0,GREEN
2023-07-19,0.017,0.0315,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.016,0.033,0.0475,0.0405,0.118,0.364,0.227,0.1005,0.0265,0.0175,0.0025,18,0,GREEN,0,GREEN,0.0225,0.1705,0,GREEN,0,GREEN
2023-07-20,0.0385,0.0555,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0215,0.04,0.0455,0.058,0.135,0.3305,0.219,0.112,0.0205,0.012,0.0015,18,0,GREEN,0,GREEN,0.047,0.2355,0,GREEN,0,GREEN
2023-07-21,0.012,0.019,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0025,0.0185,0.049,0.0655,0.0915,0.0635,0.125,0.272,0.201,0.073,0.02,0.0125,0.002,18,0,GREEN,0,GREEN,0.014,0.1485,0,GREEN,0,GREEN
2023-07-22,0.0,0.0005,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035,0.0105,0.0335,0.0795,0.051,0.091,0.292,0.133,0.256,0.0285,0.013,0.0025,18,0,GREEN,0,GREEN,0.0,0.026,0,GREEN,0,GREEN
2023-07-23,0.001,0.004,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.002,0.008,0.018,0.0245,0.067,0.452,0.265,0.1135,0.035,0.0105,0.0025,18,0,GREEN,0,GREEN,0.0015,0.059,0,GREEN,0,GREEN
2023-07-24,0.052,0.085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065,0.021,0.0435,0.055,0.0585,0.133,0.3845,0.203,0.0725,0.0155,0.0065,0.0005,18,0,GREEN,0,GREEN,0.075,0.311,0,GREEN,0,GREEN
2023-07-25,0.048,0.0735,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065,0.0205,0.0435,0.0535,0.06,0.1375,0.412,0.17,0.069,0.018,0.0085,0.0005,18,0,GREEN,0,GREEN,0.0675,0.2895,0,GREEN,0,GREEN
2023-07-26,0.073,0.1055,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.015,0.041,0.0435,0.06,0.158,0.3935,0.1845,0.079,0.016,0.006,0.0005,18,0,GREEN,0,GREEN,0.0945,0.293,0,GREEN,0,GREEN
